RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           91     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     4.021D-01  1.728D+00
    1    3     1     0  ---    1  2.7D-01  1.6D-01  6.221D-02  1.676D+00
    2    4     0     0  con    0  1.0D+00  7.5D-02  8.490D-02  1.662D+00
    3    5     0     0  con    0  1.0D+00  5.9D-01  2.103D-01  1.588D+00
    4    6     0     0  con    0  1.0D+00  5.3D-01  2.291D-01  1.535D+00
    5    8     0     0  con    1  4.0D-01  7.1D-01  3.343D-01  1.465D+00
    6   10     0     0  con    1  3.6D-01  8.2D-01  5.631D-01  1.398D+00
    7   11     0     0  con    0  1.0D+00  7.1D-01  7.759D-02  1.315D+00
    8   12     0     0  con    0  1.0D+00  1.6D-01  5.189D-02  1.306D+00
    9   13     0     0  con    0  1.0D+00  2.2D-01  1.353D-01  1.289D+00
   10   14     0     0  con    0  1.0D+00  6.5D-01  1.356D-01  1.260D+00
   11   15     0     0  con    0  1.0D+00  6.5D-01  1.585D-01  1.223D+00
   12   16     0     0  con    0  1.0D+00  8.5D-01  4.885D-01  1.201D+00
   13   17     0     0  con    0  1.0D+00  5.4D-01  1.727D-01  1.187D+00
   14   18     0     0  con    0  1.0D+00  1.8D-01  3.080D-02  1.175D+00
   15   19     0     0  con    0  1.0D+00  2.4D-01  9.651D-02  1.167D+00
   16   20     0     0  con    0  1.0D+00  3.9D-01  1.985D-01  1.149D+00
   17   22     0     0  con    1  5.3D-01  8.4D-01  4.634D-01  1.116D+00
   18   23     0     0  con    0  1.0D+00  5.8D-01  3.779D-01  1.076D+00
   19   24     0     0  con    0  1.0D+00  7.6D-01  1.035D-01  1.017D+00
   20   25     0     0  con    0  1.0D+00  2.1D-01  1.232D-01  1.002D+00
